RFID,tagged_date,Phenotype,lifespan,number_of_trips,avg_trip_length,total_trip_length,trips_per_day,AOF,foraging_days,trips_per_day_after_AOF
02 67 22 06 08 00 12 E0,2020-06-20,Slow,29,18,653.39,11761,0.62,NA,NA,NA
03 67 22 06 08 00 12 E0,2020-06-12,Slow,20,48,2039.23,97883,2.4,NA,NA,NA
04 67 22 06 08 00 12 E0,2020-06-20,Fast,7,3,695.33,2086,0.43,NA,NA,NA
07 67 22 06 08 00 12 E0,2020-06-20,Slow,13,28,894.21,25038,2.15,NA,NA,NA
09 67 22 06 08 00 12 E0,2020-06-12,Slow,12,3,439.33,1318,0.25,NA,NA,NA
0A 67 22 06 08 00 12 E0,2020-06-20,Fast,22,108,2191.86,236721,4.91,NA,NA,NA
0B 67 22 06 08 00 12 E0,2020-06-20,Slow,21,111,1416.23,157202,5.29,NA,NA,NA
0E 67 22 06 08 00 12 E0,2020-06-12,Fast,19,30,1155.57,34667,1.58,16,3,10
10 67 22 06 08 00 12 E0,2020-06-20,Slow,22,96,1221.77,117290,4.36,16,6,16
11 67 22 06 08 00 12 E0,2020-06-20,Slow,18,38,1224.92,46547,2.11,14,4,9.5
13 67 22 06 08 00 12 E0,2020-07-02,Slow,14,7,872.86,6110,0.5,NA,NA,NA
14 67 22 06 08 00 12 E0,2020-06-20,Fast,24,55,1281.6,70488,2.29,NA,NA,NA
17 67 22 06 08 00 12 E0,2020-07-02,Slow,36,51,2424.8,123665,1.42,NA,NA,NA
18 67 22 06 08 00 12 E0,2020-06-20,Fast,6,1,411,411,0.17,NA,NA,NA
19 67 22 06 08 00 12 E0,2020-06-20,Slow,21,46,881.87,40566,2.19,16,5,9.2
1A 67 22 06 08 00 12 E0,2020-07-09,Slow,15,1,406,406,0.07,NA,NA,NA
1B 67 22 06 08 00 12 E0,2020-07-09,Slow,32,76,3973.91,302017,2.38,26,6,12.666666666666666
1E 67 22 06 08 00 12 E0,2020-07-02,Fast,16,19,1269.95,24129,1.19,NA,NA,NA
1F 67 22 06 08 00 12 E0,2020-07-09,Fast,49,124,3265.95,404978,2.53,NA,NA,NA
