RFID	age first scan	age last scan	age first trip	age last trip
00 67 22 06 08 00 12 E0	0	0	NA	NA
01 67 22 06 08 00 12 E0	6	7	6	6
02 67 22 06 08 00 12 E0	1	26	1	25
03 67 22 06 08 00 12 E0	0	7	3	7
04 67 22 06 08 00 12 E0	0	3	2	3
05 67 22 06 08 00 12 E0	7	26	7	26
06 67 22 06 08 00 12 E0	0	2	NA	NA
07 67 22 06 08 00 12 E0	1	9	6	9
08 67 22 06 08 00 12 E0	0	7	NA	NA
09 67 22 06 08 00 12 E0	0	0	0	0
0A 67 22 06 08 00 12 E0	0	18	0	17
0B 67 22 06 08 00 12 E0	0	17	4	17
0D 67 22 06 08 00 12 E0	7	7	NA	NA
0E 67 22 06 08 00 12 E0	0	7	0	7
0F 67 22 06 08 00 12 E0	7	14	7	10
10 67 22 06 08 00 12 E0	1	17	10	17
11 67 22 06 08 00 12 E0	2	14	5	13
12 67 22 06 08 00 12 E0	9	9	NA	NA
13 67 22 06 08 00 12 E0	12	22	13	22
14 67 22 06 08 00 12 E0	2	20	4	20
15 67 22 06 08 00 12 E0	7	7	NA	NA
16 67 22 06 08 00 12 E0	13	13	NA	NA
17 67 22 06 08 00 12 E0	14	43	34	43
18 67 22 06 08 00 12 E0	1	2	2	2
19 67 22 06 08 00 12 E0	0	17	1	17
1A 67 22 06 08 00 12 E0	22	32	30	30
1B 67 22 06 08 00 12 E0	21	47	27	47
1C 67 22 06 08 00 12 E0	5	32	5	29
1D 67 22 06 08 00 12 E0	5	28	12	28
1E 67 22 06 08 00 12 E0	14	23	14	23
1F 67 22 06 08 00 12 E0	21	64	21	64
20 67 22 06 08 00 12 E0	2	30	2	30
21 67 22 06 08 00 12 E0	1	30	4	30
22 67 22 06 08 00 12 E0	14	14	NA	NA
23 67 22 06 08 00 12 E0	15	31	22	30
24 67 22 06 08 00 12 E0	23	35	34	34
25 67 22 06 08 00 12 E0	14	14	NA	NA
26 67 22 06 08 00 12 E0	15	17	NA	NA
27 67 22 06 08 00 12 E0	23	31	23	31
28 67 22 06 08 00 12 E0	14	15	NA	NA
29 67 22 06 08 00 12 E0	14	45	14	45
2A 67 22 06 08 00 12 E0	23	47	23	47
2B 67 22 06 08 00 12 E0	14	16	14	16
2C 67 22 06 08 00 12 E0	15	30	17	30
2D 67 22 06 08 00 12 E0	15	33	15	31
2E 67 22 06 08 00 12 E0	15	26	15	26
2F 67 22 06 08 00 12 E0	22	31	NA	NA
30 67 22 06 08 00 12 E0	12	12	NA	NA
31 67 22 06 08 00 12 E0	21	62	34	62
32 67 22 06 08 00 12 E0	5	9	6	8
33 67 22 06 08 00 12 E0	17	17	NA	NA
34 67 22 06 08 00 12 E0	7	8	NA	NA
35 67 22 06 08 00 12 E0	13	13	NA	NA
36 67 22 06 08 00 12 E0	5	23	11	23
37 67 22 06 08 00 12 E0	14	28	14	28
38 67 22 06 08 00 12 E0	15	45	30	45
39 67 22 06 08 00 12 E0	12	28	12	28
3A 67 22 06 08 00 12 E0	13	33	13	31
3B 67 22 06 08 00 12 E0	5	6	NA	NA
3C 67 22 06 08 00 12 E0	20	22	22	22
3D 67 22 06 08 00 12 E0	14	14	NA	NA
3E 67 22 06 08 00 12 E0	15	16	15	15
3F 67 22 06 08 00 12 E0	15	15	NA	NA
40 67 22 06 08 00 12 E0	22	45	22	45
41 67 22 06 08 00 12 E0	22	31	22	30
49 62 22 06 08 00 12 E0	28	31	28	31
4A 62 22 06 08 00 12 E0	32	35	32	34
4B 62 22 06 08 00 12 E0	29	54	30	54
4C 62 22 06 08 00 12 E0	12	14	NA	NA
4D 62 22 06 08 00 12 E0	30	66	52	66
4E 62 22 06 08 00 12 E0	24	25	NA	NA
4F 62 22 06 08 00 12 E0	34	57	44	56
50 5F 22 06 08 00 12 E0	37	52	37	51
50 62 22 06 08 00 12 E0	36	52	48	52
51 5F 22 06 08 00 12 E0	28	64	44	64
51 62 22 06 08 00 12 E0	30	30	NA	NA
52 62 22 06 08 00 12 E0	29	59	37	59
53 62 22 06 08 00 12 E0	34	43	34	34
54 62 22 06 08 00 12 E0	37	57	52	57
55 62 22 06 08 00 12 E0	29	29	NA	NA
56 62 22 06 08 00 12 E0	28	48	35	46
57 62 22 06 08 00 12 E0	31	31	NA	NA
58 62 22 06 08 00 12 E0	34	53	35	53
58 67 22 06 08 00 12 E0	54	91	91	91
59 62 22 06 08 00 12 E0	29	34	33	34
5A 62 22 06 08 00 12 E0	34	58	34	58
5B 62 22 06 08 00 12 E0	38	42	NA	NA
5C 62 22 06 08 00 12 E0	37	37	NA	NA
5C 67 22 06 08 00 12 E0	6	28	26	26
5D 62 22 06 08 00 12 E0	34	54	34	54
5D 67 22 06 08 00 12 E0	6	6	NA	NA
5E 62 22 06 08 00 12 E0	34	59	44	59
5E 67 22 06 08 00 12 E0	13	19	14	19
5F 62 22 06 08 00 12 E0	36	59	36	59
5F 64 22 06 08 00 12 E0	30	35	33	35
5F 67 22 06 08 00 12 E0	17	20	NA	NA
60 5F 22 06 08 00 12 E0	34	61	34	61
60 62 22 06 08 00 12 E0	34	44	44	44
60 64 22 06 08 00 12 E0	1	1	NA	NA
60 67 22 06 08 00 12 E0	6	6	NA	NA
61 5F 22 06 08 00 12 E0	34	54	34	53
61 64 22 06 08 00 12 E0	6	16	16	16
61 67 22 06 08 00 12 E0	12	12	NA	NA
62 5F 22 06 08 00 12 E0	29	39	33	39
62 62 22 06 08 00 12 E0	23	23	NA	NA
62 64 22 06 08 00 12 E0	12	13	NA	NA
62 67 22 06 08 00 12 E0	15	15	NA	NA
63 5F 22 06 08 00 12 E0	32	46	37	46
63 62 22 06 08 00 12 E0	33	33	33	33
63 64 22 06 08 00 12 E0	6	7	NA	NA
63 67 22 06 08 00 12 E0	7	16	15	16
64 62 22 06 08 00 12 E0	36	54	43	54
64 64 22 06 08 00 12 E0	1	6	1	6
64 67 22 06 08 00 12 E0	8	9	NA	NA
65 62 22 06 08 00 12 E0	35	44	35	44
65 64 22 06 08 00 12 E0	5	29	7	29
65 67 22 06 08 00 12 E0	5	7	NA	NA
66 62 22 06 08 00 12 E0	29	30	NA	NA
66 64 22 06 08 00 12 E0	22	45	22	45
66 67 22 06 08 00 12 E0	15	17	15	17
67 62 22 06 08 00 12 E0	36	56	49	56
67 64 22 06 08 00 12 E0	8	23	13	23
67 67 22 06 08 00 12 E0	7	33	25	31
68 62 22 06 08 00 12 E0	30	57	46	57
68 64 22 06 08 00 12 E0	14	42	17	42
69 62 22 06 08 00 12 E0	30	50	36	49
69 64 22 06 08 00 12 E0	12	15	12	15
6A 64 22 06 08 00 12 E0	14	20	14	20
6C 62 22 06 08 00 12 E0	34	34	NA	NA
6C 67 22 06 08 00 12 E0	80	80	NA	NA
6D 62 22 06 08 00 12 E0	36	47	36	46
6D 67 22 06 08 00 12 E0	17	17	NA	NA
6E 67 22 06 08 00 12 E0	21	32	21	31
6F 67 22 06 08 00 12 E0	13	18	17	18
70 5F 22 06 08 00 12 E0	26	26	NA	NA
70 62 22 06 08 00 12 E0	30	38	32	38
70 64 22 06 08 00 12 E0	6	23	21	23
70 67 22 06 08 00 12 E0	15	15	NA	NA
71 62 22 06 08 00 12 E0	37	60	37	56
71 64 22 06 08 00 12 E0	20	32	29	29
71 67 22 06 08 00 12 E0	15	23	19	23
72 5F 22 06 08 00 12 E0	28	49	46	49
72 64 22 06 08 00 12 E0	15	33	17	33
73 5F 22 06 08 00 12 E0	27	46	27	46
73 64 22 06 08 00 12 E0	15	17	17	17
73 67 22 06 08 00 12 E0	20	33	20	31
74 62 22 06 08 00 12 E0	36	64	36	64
74 67 22 06 08 00 12 E0	7	18	7	18
75 62 22 06 08 00 12 E0	30	61	43	61
75 67 22 06 08 00 12 E0	6	10	7	10
