Trip ID	RFID	Trip length (in seconds)
1	01 67 22 06 08 00 12 E0	400
2	02 67 22 06 08 00 12 E0	477
3	02 67 22 06 08 00 12 E0	560
4	02 67 22 06 08 00 12 E0	738
5	02 67 22 06 08 00 12 E0	393
6	02 67 22 06 08 00 12 E0	464
7	02 67 22 06 08 00 12 E0	333
8	02 67 22 06 08 00 12 E0	764
9	02 67 22 06 08 00 12 E0	414
10	02 67 22 06 08 00 12 E0	817
11	02 67 22 06 08 00 12 E0	691
12	02 67 22 06 08 00 12 E0	627
13	02 67 22 06 08 00 12 E0	381
14	02 67 22 06 08 00 12 E0	769
15	02 67 22 06 08 00 12 E0	365
16	02 67 22 06 08 00 12 E0	938
17	02 67 22 06 08 00 12 E0	1942
18	02 67 22 06 08 00 12 E0	409
19	02 67 22 06 08 00 12 E0	679
20	03 67 22 06 08 00 12 E0	680
21	03 67 22 06 08 00 12 E0	676
22	03 67 22 06 08 00 12 E0	2789
23	03 67 22 06 08 00 12 E0	4277
24	03 67 22 06 08 00 12 E0	1827
25	03 67 22 06 08 00 12 E0	2298
26	03 67 22 06 08 00 12 E0	2564
27	03 67 22 06 08 00 12 E0	2007
28	03 67 22 06 08 00 12 E0	1767
29	03 67 22 06 08 00 12 E0	2261
30	03 67 22 06 08 00 12 E0	1861
31	03 67 22 06 08 00 12 E0	1896
32	03 67 22 06 08 00 12 E0	1639
33	03 67 22 06 08 00 12 E0	1582
34	03 67 22 06 08 00 12 E0	2008
35	03 67 22 06 08 00 12 E0	1789
36	03 67 22 06 08 00 12 E0	1806
37	03 67 22 06 08 00 12 E0	2512
38	03 67 22 06 08 00 12 E0	1684
39	03 67 22 06 08 00 12 E0	1835
40	03 67 22 06 08 00 12 E0	2086
41	03 67 22 06 08 00 12 E0	1986
42	03 67 22 06 08 00 12 E0	1929
43	03 67 22 06 08 00 12 E0	2044
44	03 67 22 06 08 00 12 E0	1848
45	03 67 22 06 08 00 12 E0	1948
46	03 67 22 06 08 00 12 E0	2040
47	03 67 22 06 08 00 12 E0	2254
48	03 67 22 06 08 00 12 E0	2095
49	03 67 22 06 08 00 12 E0	1853
50	03 67 22 06 08 00 12 E0	2187
51	03 67 22 06 08 00 12 E0	2284
52	03 67 22 06 08 00 12 E0	2211
53	03 67 22 06 08 00 12 E0	2196
54	03 67 22 06 08 00 12 E0	2051
55	03 67 22 06 08 00 12 E0	1757
56	03 67 22 06 08 00 12 E0	2080
57	03 67 22 06 08 00 12 E0	2012
58	03 67 22 06 08 00 12 E0	1931
59	03 67 22 06 08 00 12 E0	2001
60	03 67 22 06 08 00 12 E0	2115
61	03 67 22 06 08 00 12 E0	2192
62	03 67 22 06 08 00 12 E0	2153
63	03 67 22 06 08 00 12 E0	2035
64	03 67 22 06 08 00 12 E0	1857
65	03 67 22 06 08 00 12 E0	2744
66	03 67 22 06 08 00 12 E0	2077
67	03 67 22 06 08 00 12 E0	2159
68	04 67 22 06 08 00 12 E0	708
69	04 67 22 06 08 00 12 E0	798
70	04 67 22 06 08 00 12 E0	580
71	05 67 22 06 08 00 12 E0	2248
72	05 67 22 06 08 00 12 E0	626
73	05 67 22 06 08 00 12 E0	778
74	05 67 22 06 08 00 12 E0	1295
75	05 67 22 06 08 00 12 E0	1559
76	05 67 22 06 08 00 12 E0	3590
77	05 67 22 06 08 00 12 E0	426
78	05 67 22 06 08 00 12 E0	1184
